VCN.TO,Daily Ret,Ret Sqd,Est Var,Vol,Est Vol,,,
$25.19,,,,,,,omega,0.00000
$23.14,0.4571%,0.0019%,0.0124%,0.4342%,1.1136%,,,
$23.32,0.7573%,0.0054%,0.0112%,0.7344%,1.0599%,,,
$23.48,0.7142%,0.0048%,0.0105%,0.6912%,1.0267%,,,
$23.79,1.3023%,0.0164%,0.0099%,1.2794%,0.9935%,,,
$23.67,-0.5189%,0.0029%,0.0104%,0.5419%,1.0195%,,,
$23.81,0.5928%,0.0032%,0.0096%,0.5698%,0.9780%,,,
$23.79,-0.0739%,0.0001%,0.0089%,0.0969%,0.9414%,,,
$24.07,1.1761%,0.0133%,0.0079%,1.1531%,0.8910%,,,
$23.97,-0.4394%,0.0021%,0.0084%,0.4624%,0.9163%,,,
$23.65,-1.3299%,0.0183%,0.0077%,1.3529%,0.8789%,,,
$23.84,0.7780%,0.0057%,0.0087%,0.7550%,0.9320%,,,
$24.08,1.0279%,0.0101%,0.0083%,1.0049%,0.9124%,,,
$23.86,-0.9173%,0.0088%,0.0084%,0.9402%,0.9180%,,,
$23.97,0.4597%,0.0019%,0.0084%,0.4367%,0.9163%,,,
$23.87,-0.4228%,0.0020%,0.0077%,0.4458%,0.8777%,,,
$23.66,-0.8882%,0.0083%,0.0071%,0.9112%,0.8426%,,,
$23.58,-0.3351%,0.0013%,0.0072%,0.3581%,0.8470%,,,
$23.66,0.3351%,0.0010%,0.0066%,0.3122%,0.8103%,,,
$23.74,0.3340%,0.0010%,0.0060%,0.3111%,0.7745%,,,
$23.87,0.5542%,0.0028%,0.0055%,0.5312%,0.7415%,,,
$23.84,-0.1106%,0.0002%,0.0052%,0.1336%,0.7235%,,,
$23.76,-0.3325%,0.0013%,0.0047%,0.3555%,0.6891%,,,
$23.57,-0.8176%,0.0071%,0.0044%,0.8405%,0.6651%,,,
$23.53,-0.1867%,0.0004%,0.0047%,0.2097%,0.6852%,,,
$23.60,0.2986%,0.0008%,0.0043%,0.2757%,0.6556%,,,
$23.45,-0.6356%,0.0043%,0.0040%,0.6586%,0.6307%,,,
$23.69,1.0077%,0.0097%,0.0040%,0.9847%,0.6356%,,,
$23.77,0.3706%,0.0012%,0.0046%,0.3477%,0.6789%,,,
$24.05,1.1403%,0.0125%,0.0043%,1.1174%,0.6554%,,,
$24.22,0.7289%,0.0050%,0.0051%,0.7059%,0.7144%,,,
$24.17,-0.2181%,0.0006%,0.0051%,0.2411%,0.7138%,,,
$24.13,-0.1457%,0.0003%,0.0047%,0.1686%,0.6829%,,,
$24.30,0.6900%,0.0044%,0.0043%,0.6671%,0.6523%,,,
$24.56,1.0441%,0.0104%,0.0043%,1.0212%,0.6554%,,,
$24.65,0.3932%,0.0014%,0.0049%,0.3702%,0.7003%,,,
$24.59,-0.2501%,0.0007%,0.0046%,0.2730%,0.6762%,,,
$24.64,0.2144%,0.0004%,0.0042%,0.1914%,0.6495%,,,
$24.48,-0.6804%,0.0049%,0.0039%,0.7033%,0.6221%,,,
$24.53,0.2153%,0.0004%,0.0040%,0.1924%,0.6327%,,,
$24.66,0.5364%,0.0026%,0.0037%,0.5134%,0.6067%,,,
$24.63,-0.1427%,0.0003%,0.0036%,0.1657%,0.6012%,,,
$24.80,0.7117%,0.0047%,0.0033%,0.6888%,0.5769%,,,
$24.63,-0.7117%,0.0054%,0.0035%,0.7347%,0.5921%,,,
$24.34,-1.1856%,0.0146%,0.0037%,1.2085%,0.6104%,,,
$24.20,-0.5799%,0.0036%,0.0048%,0.6029%,0.6931%,,,
$24.17,-0.1091%,0.0002%,0.0047%,0.1321%,0.6856%,,,
$24.35,0.7252%,0.0049%,0.0043%,0.7022%,0.6540%,,,
$24.06,-1.1628%,0.0141%,0.0044%,1.1858%,0.6604%,,,
$24.46,1.6314%,0.0259%,0.0053%,1.6084%,0.7289%,,,
$24.45,-0.0360%,0.0000%,0.0073%,0.0589%,0.8536%,,,
$24.48,0.1079%,0.0001%,0.0065%,0.0849%,0.8090%,,,
$24.40,-0.3239%,0.0012%,0.0059%,0.3469%,0.7677%,,,
$24.70,1.2182%,0.0143%,0.0054%,1.1952%,0.7367%,,,
$24.71,0.0712%,0.0000%,0.0063%,0.0483%,0.7922%,,,
$24.57,-0.6068%,0.0040%,0.0057%,0.6298%,0.7517%,,,
$24.56,-0.0358%,0.0000%,0.0055%,0.0588%,0.7403%,,,
$24.78,0.8914%,0.0075%,0.0050%,0.8685%,0.7036%,,,
$24.78,0.0000%,0.0000%,0.0052%,0.0230%,0.7215%,,,
$25.00,0.9187%,0.0080%,0.0047%,0.8958%,0.6860%,,,
$24.98,-0.1056%,0.0002%,0.0050%,0.1285%,0.7097%,,,
$25.08,0.3866%,0.0013%,0.0046%,0.3636%,0.6762%,,,
$25.04,-0.1404%,0.0003%,0.0043%,0.1634%,0.6538%,,,
$25.00,-0.1758%,0.0004%,0.0039%,0.1987%,0.6253%,,,
$25.01,0.0703%,0.0000%,0.0036%,0.0474%,0.6001%,,,
