"","VCN.TO","VEE.TO","VFV.TO","VVL.TO","VAB.TO","VBU.TO","XSU.TO"
"338",29.353895,31.88936,55.554646,31.170967,23.034573,23.150562,30.810944
"339",29.463358,32.159607,55.849091,31.0877,23.089609,23.169125,31.032953
"340",29.572817,31.880045,55.668625,30.985924,23.163004,23.261948,30.695112
"341",29.645796,32.243481,56.067539,31.254242,23.181347,23.2341,30.946079
"342",29.645796,32.262112,55.972565,31.226482,23.172173,23.242464,30.72407
"343",29.627546,32.187561,55.763599,31.050692,23.218044,23.270367,30.839901
"344",29.609304,31.898674,55.725605,30.911907,23.236387,23.251762,30.791639
"345",29.764374,32.094376,55.611633,30.85639,23.29143,23.288952,30.839901
"346",29.809986,32.038467,55.839588,30.782375,23.337297,23.298243,30.4538
"347",29.782623,32.019817,55.668625,30.652842,23.318949,23.298243,30.511711
"348",29.755251,31.796162,55.326687,30.36602,23.263906,23.251762,30.386229
"349",29.654909,31.684345,55.326687,30.384525,23.218044,23.186684,30.386229
"350",29.636673,31.740253,55.564144,30.384525,23.181347,23.195986,30.376577
"351",29.417746,31.54455,55.469158,30.393776,23.227215,23.223875,30.299355
"352",29.372137,31.367504,55.279205,30.440041,23.273087,23.261063,30.15457
"353",29.463358,31.870716,55.74461,30.615833,23.190516,23.214575,30.617891
"354",29.572817,32.103695,55.621143,30.810129,23.236387,23.279654,30.753025
"355",29.600185,32.355309,55.896568,30.948915,23.214327,23.223875,30.965384
"356",29.746134,32.718742,56.153027,30.967419,23.269491,23.261063,31.26461
"357",29.737007,32.569641,55.763599,30.911907,23.315456,23.33544,31.283913
"358",29.737007,32.793293,55.877586,31.013681,23.333851,23.251762,31.370792
"359",29.782623,32.793293,55.915569,30.921158,23.361427,23.279654,31.26461
"360",29.654909,32.271431,56.134029,30.958166,23.366955,23.316843,31.177738
